Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
GNDI3	71,02	-3.802,75	6,19	3,631	0,39%	2,522	84,49	92,34	-6,59	96,42	53,83	3,93%	-0,09%	1,17	3,09%	-0,16%	332.320.000,00	7.116.080.000,00	0,53	25,23%
APER3	32,29	-3.074,01	1,67	3,846	0,00%	1,004	7,07	-8,38	-9,76	-6,63	-8,95	-45,89%	-0,31%	1,92	-15,46%	-0,05%	1.770.850,00	293.651.000,00	0,00	6,64%
CASH3	2,88	-483,11	3,24	11,108	0,20%	2,801	3,91	-254,66	4,42	-192,08	-290,92	-4,36%	-1,15%	21,09	-3,63%	-0,67%	162.006.000,00	713.849.000,00	0,00	0,00%
RCSL3	3,96	-464,08	-6,87	5,522	0,00%	4,634	68,24	328,15	-4,04	325,69	173,36	1,68%	-1,18%	1,15	1,50%	1,48%	21.488.100,00	-43.698.000,00	-0,00	667,41%
DASA3	27,79	-430,01	2,10	1,562	1,06%	0,847	19,06	98,83	-2,96	118,88	17,76	1,58%	-0,26%	1,17	1,04%	-0,49%	12.190.400,00	7.418.660.000,00	0,72	30,37%
RCSL4	1,18	-138,29	-2,05	1,646	0,00%	1,381	20,33	97,78	-1,21	95,32	50,74	1,68%	-1,18%	1,15	1,50%	1,48%	1.544.010,00	-43.698.000,00	-0,00	667,41%
MAPT4	21,51	-114,93	-3,35	0,000	0,00%	25,573	-4.941,92	-130,91	-2,96	-130,91	-130,91	0,00%	0,00%	0,00	-19,64%	2,92%	1.732,44	-5.898.000,00	0,00	0,00%
NORD3	10,12	-67,41	-0,48	33,841	0,00%	3,817	-1,44	-64,06	-0,43	-100,02	-100,02	-52,83%	-50,20%	0,03	-6,16%	0,71%	2.476,74	-140.887.000,00	-0,27	46,63%
FRTA3	4,88	-65,50	-0,15	0,578	0,00%	0,295	-0,12	-36,98	-0,11	-263,32	-263,32	-1,56%	-0,88%	0,06	-0,96%	0,24%	23.005,50	-64.752.000,00	-0,96	-27,76%
ELMD3	14,00	-51,58	2,59	5,599	0,00%	1,249	5,01	-64,72	-16,24	-65,23	49,88	-8,65%	-10,85%	2,29	-3,34%	-5,03%	1.742.820,00	750.727.000,00	0,79	0,00%
EMBR3	18,97	-47,87	0,96	0,532	0,00%	0,249	0,84	7,13	-1,66	12,25	7,62	7,47%	-1,15%	2,04	4,91%	-2,00%	225.978.000,00	14.686.800.000,00	1,60	2,38%
RRRP3	37,48	-37,62	4,17	11,602	0,00%	2,077	8,73	30,35	-21,17	27,99	19,84	38,23%	-30,15%	2,64	10,62%	-11,08%	127.202.000,00	1.822.360.000,00	0,37	0,00%
VLID3	10,40	-35,08	0,69	0,396	2,79%	0,280	1,80	5,73	-1,87	11,72	5,81	6,91%	-1,04%	1,57	6,01%	-1,97%	3.933.360,00	1.235.000.000,00	1,05	7,86%
OMGE3	27,57	-32,03	1,59	3,419	0,00%	0,543	10,86	12,56	-1,06	24,34	13,09	27,23%	-11,12%	1,72	4,69%	-4,95%	16.274.500,00	3.483.570.000,00	1,66	38,73%
ORVR3	29,00	-31,84	5,54	5,408	0,00%	2,241	14,08	41,02	-12,25	46,16	23,35	13,18%	-8,88%	1,66	5,65%	-17,39%	13.446.200,00	374.300.000,00	0,71	0,00%
OPCT3	2,90	-19,21	0,66	0,872	0,00%	0,290	1,63	220,15	-1,34	369,29	8,57	0,40%	-1,76%	2,06	0,18%	-3,43%	2.664.680,00	880.290.000,00	0,98	0,00%
DTCY3	7,55	-19,01	54,01	7,765	0,00%	4,470	-30,95	-35,94	-8,06	-35,76	44,71	-21,60%	-40,85%	0,72	-14,31%	-284,13%	342,54	1.556.000,00	1,21	-8,50%
TELB3	39,50	-18,66	1,85	10,007	0,00%	0,667	2,45	-7,76	-2,13	-5,68	-20,95	-129,01%	-53,64%	5,93	-11,43%	-9,94%	17.865,80	1.445.520.000,00	0,16	70,12%
HBSA3	2,80	-18,51	1,49	1,649	0,00%	0,345	4,48	10,85	-0,57	31,45	12,27	15,20%	-8,91%	1,92	3,47%	-8,05%	10.123.500,00	1.427.680.000,00	3,10	36,31%
ECOR3	7,19	-18,40	2,37	1,130	0,00%	0,291	-3,56	2,65	-0,47	6,63	4,94	42,59%	-6,19%	0,76	13,80%	-12,90%	49.060.000,00	2.109.920.000,00	5,16	10,80%
TCNO3	1,75	-18,27	-20,04	0,000	0,00%	0,049	-0,12	-5,39	-0,06	-21,11	-25,50	0,00%	0,00%	0,29	-1,24%	109,69%	132.390,00	-578.000,00	-58,53	53,01%
SMFT3	16,52	-15,45	2,14	6,263	0,00%	0,889	4,08	-27,04	-3,80	-26,91	23,28	-23,16%	-40,66%	2,68	-4,86%	-13,85%	22.603.200,00	4.524.110.000,00	0,72	12,21%
HBRE3	7,90	-14,70	0,46	10,210	0,00%	0,238	2,62	11,78	-1,05	18,38	18,23	86,67%	-78,29%	2,12	2,42%	-3,14%	576.697,00	1.767.560.000,00	0,57	0,00%
BIOM3	13,90	-13,76	7,19	9,825	0,00%	2,650	13,21	-17,69	-11,91	-19,80	-20,04	-55,55%	-71,41%	1,96	-18,71%	-52,27%	185.245,00	142.109.000,00	1,25	596,49%
TCNO4	1,28	-13,37	-14,66	0,000	0,00%	0,036	-0,08	-3,94	-0,04	-19,66	-23,75	0,00%	0,00%	0,29	-1,24%	109,69%	206.568,00	-578.000,00	-58,53	53,01%
WEST3	3,38	-12,11	0,94	1,226	0,00%	0,706	1,18	-6,55	1,36	-1,70	-1,70	-18,73%	-10,13%	4,48	-34,00%	-7,75%	3.228.180,00	396.627.000,00	0,09	0,00%
FRIO3	50,59	-11,97	-1,84	0,111	0,00%	0,116	-2,55	3,14	-0,38	16,62	8,39	3,53%	0,24%	0,94	6,36%	15,40%	117,65	-112.663.000,00	-11,09	17,35%
MEAL3	2,67	-9,76	0,66	0,465	0,00%	0,257	2,16	-10,91	-0,74	-13,37	8,61	-4,26%	-4,76%	1,81	-3,11%	-6,76%	4.976.250,00	1.158.050.000,00	0,61	-0,48%
MSPA3	48,50	-9,34	0,39	2,361	0,00%	0,226	25,35	-9,89	-0,62	-11,80	1.313,98	-23,87%	-25,29%	1,21	-2,34%	-4,14%	451,16	803.538.000,00	0,10	-5,63%
MSPA4	46,00	-8,85	0,37	2,240	0,00%	0,215	24,05	-9,38	-0,59	-11,29	1.257,20	-23,87%	-25,29%	1,21	-2,34%	-4,14%	427,91	803.538.000,00	0,10	-5,63%
AMAR3	3,22	-8,65	0,90	0,346	0,00%	0,250	3,41	3,33	-1,17	8,15	3,83	10,39%	0,40%	1,17	9,82%	-10,46%	25.207.600,00	931.310.000,00	1,60	-5,28%
MBLY3	6,60	-7,65	1,07	0,985	0,00%	0,700	1,32	-8,88	1,95	-6,97	-13,45	-11,09%	-12,88%	4,06	-13,66%	-13,98%	1.691.510,00	657.212.000,00	0,29	0,00%
TELB4	14,60	-6,90	0,69	3,699	0,00%	0,246	0,91	-2,87	-0,79	-0,80	-2,93	-129,01%	-53,64%	5,93	-11,43%	-9,94%	87.971,20	1.445.520.000,00	0,16	70,12%
BAHI3	13,70	-5,57	1,57	0,904	0,00%	0,406	-1,66	125,22	-0,68	128,66	18,86	0,72%	-16,47%	0,33	0,35%	-28,19%	55.140,50	142.631.000,00	0,32	78,05%
ENJU3	2,92	-5,56	1,28	5,491	0,00%	1,166	1,40	-5,06	1,43	-1,38	-1,50	-108,60%	-98,77%	12,44	-188,24%	-23,05%	8.691.780,00	450.931.000,00	0,00	0,00%
ALPK3	4,69	-5,18	1,94	1,301	0,00%	0,377	-1,83	13,66	-0,53	33,23	7,62	9,52%	-24,98%	0,31	2,97%	-37,55%	78.154,30	504.587.000,00	2,91	0,00%
PINE4	1,63	-4,95	0,31	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-6,33%	351.159,00	771.253.000,00	0,00	0,18%
TXRX4	6,75	-4,85	-0,09	0,193	0,00%	0,135	-0,11	0,97	-0,07	9,50	8,13	19,93%	-3,99%	0,26	20,57%	1,91%	2.569,23	-311.100.000,00	-0,81	15,22%
CEED3	59,99	-4,41	-1,33	0,889	0,00%	0,630	6,32	-21,07	-0,61	-30,02	119,23	-4,22%	-20,14%	1,29	-4,23%	30,24%	1.928,37	-3.067.670.000,00	-1,02	41,47%
CTNM3	8,37	-4,38	0,32	0,110	0,00%	0,059	0,88	1,27	-0,25	7,17	4,59	8,62%	-4,23%	1,19	5,43%	-7,26%	369,63	806.232.000,00	1,85	-5,64%
BKBR3	6,03	-4,21	1,07	0,635	0,00%	0,447	15,59	-6,09	-1,21	-7,36	21,94	-10,43%	-15,10%	1,16	-8,96%	-25,51%	13.384.500,00	1.547.140.000,00	0,54	3,85%
IRBR3	3,02	-4,11	0,95	0,468	0,00%	0,160	0,00	-2,53	0,00	0,00	0,00	-18,50%	-11,39%	0,00	0,00%	-23,15%	51.518.400,00	4.025.520.000,00	0,00	0,10%
ADHM3	1,56	-4,09	-1,29	770,924	0,00%	105,126	-1,43	-5,69	-1,27	-5,69	-5,81	-13.548,50%	-18.860,60%	0,00	521,70%	31,47%	2.064,00	-19.776.000,00	0,00	43,48%
BLUT3	1,72	-3,98	0,59	0,000	0,00%	0,182	-1,44	-21,34	-0,26	-25,39	-25,39	0,00%	0,00%	0,00	-0,86%	-14,79%	345.869,00	58.673.000,00	0,11	0,00%
AHEB3	27,50	-3,88	-4,89	1,230	0,00%	0,833	-3,36	-5,91	-0,88	-5,74	-7,20	-20,80%	-31,68%	0,47	-14,96%	125,95%	4.085,91	-48.063.000,00	0,00	33,10%
AHEB5	22,00	-3,11	-3,91	0,984	0,00%	0,667	-2,69	-4,73	-0,70	-4,56	-5,72	-20,80%	-31,68%	0,47	-14,96%	125,95%	109,23	-48.063.000,00	0,00	33,10%
SGPS3	5,85	-2,47	0,29	0,163	0,00%	0,090	0,74	2,37	-0,40	8,21	4,56	6,87%	-6,58%	1,36	4,50%	-11,57%	371.741,00	1.022.990.000,00	0,96	-8,56%
SHOW3	3,59	-2,41	1,57	20,234	0,00%	0,487	2,55	-4,50	-5,66	-3,29	-3,81	-449,62%	-848,46%	1,46	-20,52%	-65,32%	2.212.500,00	153.907.000,00	0,88	-60,56%
OIBR4	1,76	-2,36	10,94	5,798	0,00%	0,154	0,51	-3,32	-0,41	-11,37	-29,44	-174,48%	-245,43%	1,97	-5,08%	-462,73%	1.512.360,00	1.061.810.000,00	29,52	-40,34%
CRDE3	16,74	-2,27	0,40	19,549	0,00%	0,353	2,91	-4,24	4,32	-2,61	-2,62	-460,70%	-860,99%	2,79	-9,77%	-17,44%	8.242,00	102.494.000,00	0,00	-28,36%
AZUL4	26,37	-2,20	-0,51	1,143	0,00%	0,513	-1,96	-99,31	-0,32	-172,90	11,91	-1,15%	-51,85%	0,59	-0,74%	23,06%	196.917.000,00	-17.945.900.000,00	-0,58	-6,77%
VIVR3	1,16	-2,09	-1,33	2,116	0,00%	0,479	-1,78	-3,86	-0,54	-7,24	-7,49	-54,74%	-101,21%	0,64	-15,98%	63,55%	5.937.530,00	-124.814.000,00	-1,69	58,02%
BLUT4	0,90	-2,08	0,31	0,000	0,00%	0,095	-0,75	-11,17	-0,14	-15,22	-15,22	0,00%	0,00%	0,00	-0,86%	-14,79%	584.243,00	58.673.000,00	0,11	0,00%
CTNM4	3,68	-1,93	0,14	0,048	0,00%	0,026	0,38	0,56	-0,11	6,45	4,14	8,62%	-4,23%	1,19	5,43%	-7,26%	36.702,30	806.232.000,00	1,85	-5,64%
TCSA3	3,63	-1,71	0,41	1,598	0,00%	0,171	0,59	-3,27	-1,48	-7,83	-8,84	-48,86%	-94,24%	2,81	-5,96%	-24,10%	2.589.000,00	649.131.000,00	0,86	-7,29%
GOLL4	17,06	-1,54	-0,37	1,056	0,00%	0,522	-0,80	-3,00	-0,24	-7,73	-19,40	-35,18%	-67,40%	0,25	-22,42%	24,05%	88.099.400,00	-18.279.600.000,00	-0,65	-11,70%
OIBR3	1,06	-1,42	6,59	3,492	0,00%	0,093	0,31	-2,00	-0,25	-10,05	-26,02	-174,48%	-245,43%	1,97	-5,08%	-462,73%	73.270.500,00	1.061.810.000,00	29,52	-40,34%
BAHI11	3,25	-1,32	0,37	0,215	0,00%	0,096	-0,39	29,71	-0,16	33,14	4,86	0,72%	-16,47%	0,33	0,35%	-28,19%	246,58	142.631.000,00	0,32	78,05%
AVLL3	29,99	-1,31	4,97	2,326	0,00%	0,341	7,67	-6,83	-0,62	-14,63	-16,64	-34,06%	-135,86%	1,13	-5,78%	-378,12%	89.761,50	135.329.000,00	6,94	0,00%
HOOT4	2,83	-1,12	-0,11	1,567	0,00%	0,110	-0,08	-1,77	-0,06	-1,68	-2,67	-88,51%	-139,95%	0,04	-6,40%	9,95%	18.028,10	-466.395.000,00	-0,00	-28,36%
PLAS3	9,88	-1,08	-0,43	0,210	0,00%	0,206	-0,54	-2,69	-0,17	-6,61	16,80	-7,79%	-19,48%	0,44	-8,57%	39,85%	6.250,37	-286.400.000,00	-0,67	9,36%
COGN3	2,49	-1,02	0,37	1,088	0,00%	0,162	1,70	-21,48	-0,64	-49,29	19,24	-5,07%	-107,15%	1,54	-0,87%	-36,08%	77.790.400,00	12.679.000.000,00	0,73	-5,62%
GSHP3	29,82	-0,91	-0,09	0,478	0,00%	0,033	1,06	1,43	-0,03	40,23	37,57	33,35%	-52,82%	1,16	2,80%	9,79%	14.614,90	-649.166.000,00	-2,88	-21,01%
RPMG3	2,79	-0,77	-0,06	0,107	0,00%	0,047	-0,06	-0,64	-0,05	-0,63	-0,64	-16,91%	-13,98%	0,56	-7,51%	7,40%	105.287,00	-3.322.860.000,00	0,00	26,14%
PMAM3	8,04	-0,76	-0,45	0,068	0,00%	0,104	-0,13	-4,71	-0,12	-46,05	48,03	-1,44%	-9,00%	0,34	-2,49%	58,95%	2.931.230,00	-783.935.000,00	-4,08	7,81%
INEP3	1,53	-0,75	-0,10	31,699	0,00%	0,179	-0,12	-0,97	-0,07	-4,10	-4,36	-3.251,52%	-4.853,00%	0,05	-19,32%	13,86%	1.391.520,00	-2.561.840.000,00	-0,33	-36,42%
JFEN3	1,24	-0,73	-0,27	-12,290	0,00%	0,105	-0,95	-1,28	-0,17	-6,88	-6,98	958,81%	1.698,50%	0,88	-8,78%	36,81%	1.065.890,00	-483.667.000,00	-1,22	-18,79%
INEP4	1,49	-0,73	-0,10	30,870	0,00%	0,175	-0,12	-0,95	-0,07	-4,07	-4,33	-3.251,52%	-4.853,00%	0,05	-19,32%	13,86%	1.285.750,00	-2.561.840.000,00	-0,33	-36,42%
ATMP3	2,78	-0,73	0,39	0,071	0,00%	0,044	-0,16	-4,70	-0,06	-22,48	2,63	-1,50%	-9,72%	0,44	-1,08%	-53,16%	158.704,00	192.398.000,00	1,66	-15,23%
BBRK3	1,11	-0,69	2,10	0,628	0,00%	0,511	-2,20	-6,30	-0,99	-4,85	-17,08	-9,97%	-93,40%	0,50	-9,62%	-302,67%	1.709.720,00	41.469.000,00	0,00	10,30%
MTIG4	35,44	-0,54	-0,23	0,115	0,00%	0,100	-0,25	-0,59	-0,11	-5,74	-7,74	-19,45%	-21,37%	0,58	-20,26%	42,43%	3.411,02	-37.389.400,00	-2,00	-13,21%
IGBR3	38,47	-0,52	-0,05	9,645	0,00%	0,372	-0,12	-0,51	-0,04	-6,02	-6,17	-1.890,19%	-1.844,22%	0,03	-79,97%	8,96%	742.948,00	-1.026.000.000,00	-0,51	-4,15%
BDLL3	11,50	-0,48	-0,10	1,683	0,00%	0,028	-0,07	-0,61	-0,03	-8,71	-10,58	-275,76%	-350,37%	0,50	-5,36%	20,50%	4.343,28	-186.846.000,00	-1,31	-47,59%
BDLL4	9,91	-0,41	-0,08	1,451	0,00%	0,024	-0,06	-0,53	-0,03	-8,63	-10,48	-275,76%	-350,37%	0,50	-5,36%	20,50%	5.966,86	-186.846.000,00	-1,31	-47,59%
SNSY5	4,59	-0,34	-0,02	0,049	0,00%	0,077	-0,58	-4,40	-0,02	-20,28	17,35	-1,12%	-14,88%	0,82	-2,08%	7,35%	19.353,00	-1.437.030.000,00	-0,09	15,24%
PDGR3	1,58	-0,22	-0,02	0,222	0,00%	0,063	-0,03	-1,89	-0,02	-23,99	-24,88	-11,70%	-98,48%	0,29	-4,57%	7,38%	1.492.590,00	-5.499.090.000,00	-0,21	-6,37%
SLED3	13,28	-0,12	-0,04	0,228	0,00%	0,085	-0,30	-0,47	-0,03	-5,99	-10,47	-48,25%	-197,16%	0,54	-26,49%	37,60%	125.371,00	-553.939.000,00	-0,51	-51,11%
TEKA3	26,10	-0,11	-0,01	0,061	0,00%	0,013	-0,01	64,67	-0,00	2.879,80	129,57	0,09%	-56,45%	0,04	0,03%	6,79%	121,40	-1.777.870.000,00	-0,32	8,97%
LLIS3	1,80	-0,07	0,93	0,157	0,00%	0,058	1,83	-0,66	-0,08	-9,37	-56,40	-23,71%	-61,91%	1,16	-9,73%	-1.386,10%	852.789,00	133.566.000,00	12,68	-14,78%
SLED4	6,86	-0,06	-0,02	0,118	0,00%	0,044	-0,16	-0,24	-0,02	-5,76	-10,07	-48,25%	-197,16%	0,54	-26,49%	37,60%	388.502,00	-553.939.000,00	-0,51	-51,11%
OSXB3	7,25	-0,06	-0,00	1,082	0,00%	0,010	-0,04	-0,28	-0,00	-57,30	-70,77	-387,68%	-1.816,52%	0,02	-3,83%	7,67%	106.854,00	-5.201.600.000,00	-0,90	24,51%
TEKA4	9,00	-0,04	-0,00	0,021	0,00%	0,004	-0,00	22,30	-0,00	2.837,43	127,66	0,09%	-56,45%	0,04	0,03%	6,79%	19.359,80	-1.777.870.000,00	-0,32	8,97%
HETA4	8,61	-0,03	-0,01	1,891	0,00%	0,380	-0,06	6,68	-0,01	500,72	500,72	28,29%	-7.526,18%	0,01	5,69%	31,35%	73.620,10	-557.401.000,00	-0,58	-5,46%
ARML3	20,83	0,00	6,50	0,000	0,00%	3,676	8,70	0,00	38,21	0,00	0,00	0,00%	0,00%	4,93	0,00%	0,00%	17.047.900,00	1.108.480.000,00	0,65	0,00%
BRBI11	17,80	0,00	2,42	0,000	0,00%	0,708	2,22	0,00	2,54	0,00	0,00	0,00%	0,00%	1,48	0,00%	0,00%	3.329.750,00	771.396.000,00	2,20	0,00%
BRIT3	4,49	0,00	1,50	0,000	0,00%	0,741	2,19	0,00	43,71	0,00	0,00	0,00%	0,00%	2,81	0,00%	0,00%	3.357.580,00	1.341.070.000,00	0,83	0,00%
CBAV3	17,40	0,00	2,70	0,000	0,00%	0,918	5,27	0,00	-3,49	0,00	0,00	0,00%	0,00%	1,85	0,00%	0,00%	33.305.200,00	3.843.160.000,00	0,80	0,00%
CLSA3	10,80	0,00	2,59	0,000	0,00%	2,017	2,60	0,00	2,93	0,00	0,00	0,00%	0,00%	6,94	0,00%	0,00%	18.540.700,00	785.018.000,00	0,15	0,00%
DESK3	17,36	0,00	1,74	0,000	0,00%	1,050	2,97	0,00	13,86	0,00	0,00	0,00%	0,00%	4,14	0,00%	0,00%	5.960.660,00	868.497.000,00	0,45	0,00%
DOTZ3	2,99	0,00	-7,61	0,000	0,00%	0,982	14,13	0,00	-3,53	0,00	0,00	0,00%	0,00%	1,09	0,00%	0,00%	333.566,00	-51.891.000,00	-0,51	0,00%
FIQE3	6,08	0,00	2,23	0,000	0,00%	1,374	3,37	0,00	7,58	0,00	0,00	0,00%	0,00%	3,57	0,00%	0,00%	3.192.520,00	984.998.000,00	0,29	0,00%
GETT3	1,63	0,00	0,90	0,000	0,00%	0,059	2,02	0,00	2,13	0,00	0,00	0,00%	0,00%	1,03	0,00%	0,00%	844.937,00	3.373.650.000,00	0,69	0,00%
GETT4	1,62	0,00	0,90	0,000	0,00%	0,058	2,00	0,00	2,12	0,00	0,00	0,00%	0,00%	1,03	0,00%	0,00%	816.704,00	3.373.650.000,00	0,69	0,00%
GGPS3	15,67	0,00	4,83	0,000	1,20%	1,883	7,24	0,00	-23,06	0,00	0,00	0,00%	0,00%	1,97	0,00%	0,00%	24.661.400,00	2.166.720.000,00	0,62	0,00%
IFCM3	15,40	0,00	4,65	0,000	0,00%	2,853	9,04	0,00	13,44	0,00	0,00	0,00%	0,00%	2,11	0,00%	0,00%	20.379.900,00	921.548.000,00	0,11	0,00%
KRSA3	4,00	0,00	2,48	0,000	0,00%	0,812	5,52	0,00	-2,24	0,00	0,00	0,00%	0,00%	1,92	0,00%	0,00%	832.250,00	1.234.890.000,00	1,29	0,00%
LVTC3	14,15	0,00	1,48	0,000	0,00%	0,594	2,33	0,00	25,05	0,00	0,00	0,00%	0,00%	1,69	0,00%	0,00%	3.237.580,00	616.160.000,00	0,00	0,00%
MATD3	14,87	0,00	3,71	0,000	0,00%	2,270	3,97	0,00	7,68	0,00	0,00	0,00%	0,00%	6,09	0,00%	0,00%	12.108.600,00	1.531.620.000,00	0,17	0,00%
MEGA3	11,05	0,00	61.340,10	0,000	0,00%	61.340,100	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	19.517.300,00	100.000,00	0,00	0,00%
MLAS3	6,86	0,00	1,44	0,000	0,00%	0,742	1,34	0,00	1,69	0,00	0,00	0,00%	0,00%	2,50	0,00%	0,00%	11.657.800,00	3.910.490.000,00	0,28	0,00%
MODL11	13,02	0,00	2,37	0,000	1,63%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	12.526.300,00	1.291.440.000,00	0,00	0,00%
MODL3	5,60	0,00	3,05	0,000	1,26%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	120.008,00	1.291.440.000,00	0,00	0,00%
MODL4	3,89	0,00	2,12	0,000	1,82%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	163.597,00	1.291.440.000,00	0,00	0,00%
NINJ3	4,39	0,00	0,76	0,000	0,00%	0,692	0,77	0,00	0,77	0,00	0,00	0,00%	0,00%	11,61	0,00%	0,00%	3.362.710,00	291.485.000,00	0,00	0,00%
ONCO3	11,33	0,00	3,24	0,000	0,00%	1,129	3,66	0,00	-18,12	0,00	0,00	0,00%	0,00%	2,38	0,00%	0,00%	13.866.700,00	1.734.180.000,00	0,91	0,00%
PORT3	60,05	0,00	2,07	0,000	0,00%	0,824	36,64	0,00	-1,79	0,00	0,00	0,00%	0,00%	1,19	0,00%	0,00%	3.197.210,00	2.111.470.000,00	1,22	0,00%
RECV3	21,36	0,00	2,87	0,000	0,00%	1,602	7,43	0,00	-61,02	0,00	0,00	0,00%	0,00%	2,08	0,00%	0,00%	14.774.200,00	1.849.310.000,00	0,43	0,00%
TRAD3	5,49	0,00	2,43	0,000	0,00%	2,290	3,03	0,00	3,06	0,00	0,00	0,00%	0,00%	15,74	0,00%	0,00%	12.364.700,00	635.506.000,00	0,01	0,00%
TTEN3	9,87	0,00	2,36	0,000	0,00%	1,121	3,23	0,00	3,85	0,00	0,00	0,00%	0,00%	1,74	0,00%	0,00%	6.587.540,00	2.065.190.000,00	0,44	0,00%
VVEO3	17,57	0,00	2,31	0,000	0,00%	0,883	2,16	0,00	13,42	0,00	0,00	0,00%	0,00%	2,49	0,00%	0,00%	8.950.710,00	2.172.080.000,00	0,72	0,00%
MWET4	15,93	0,19	-0,68	0,144	0,00%	0,142	18,04	8,08	-0,18	21,54	10,61	1,78%	75,13%	1,02	1,99%	-356,36%	45.859,10	-48.018.000,00	-1,14	14,21%
MWET3	22,50	0,27	-0,96	0,203	0,00%	0,201	25,48	11,42	-0,25	24,87	12,25	1,78%	75,13%	1,02	1,99%	-356,36%	104,65	-48.018.000,00	-1,14	14,21%
MGEL4	13,89	0,38	-0,30	0,098	0,00%	0,135	0,37	0,81	-0,16	7,40	6,21	12,21%	25,79%	2,44	22,45%	-77,44%	21.061,30	-271.646.000,00	-2,75	14,84%
CEBR6	14,22	0,65	0,54	-1,196	146,69%	0,462	0,64	5,89	0,65	-2,70	-2,58	-20,31%	-189,71%	22,04	24,48%	83,39%	103.633,00	1.903.810.000,00	0,00	-25,98%
CEBR5	14,37	0,65	0,54	-1,209	131,97%	0,467	0,65	5,95	0,65	-2,64	-2,52	-20,31%	-189,71%	22,04	24,48%	83,39%	18.696,30	1.903.810.000,00	0,00	-25,98%
CEBR3	14,85	0,67	0,56	-1,249	127,70%	0,482	0,67	6,15	0,67	-2,44	-2,33	-20,31%	-189,71%	22,04	24,48%	83,39%	39.518,80	1.903.810.000,00	0,00	-25,98%
