Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
GPIV33	4,99	0,74	0,28	0,432	0,00%	0,133	0,52	0,46	1,15	-0,40	-0,40	93,68%	86,75%	6,79	40,09%	37,61%	338.706,00	1.965.900.000,00	0,06	55,19%
RSID3	8,40	0,86	-0,26	1,408	0,00%	0,100	-0,12	-13,47	-0,09	-66,77	-94,27	-10,45%	145,96%	0,29	-0,77%	-29,76%	581.676,00	-562.050.000,00	-1,05	-34,12%
TPIS3	1,96	1,19	0,37	0,328	2,10%	0,107	-0,99	-17,11	-0,17	-97,00	4,69	-1,92%	27,01%	0,38	-0,66%	31,19%	2.351.090,00	932.497.000,00	1,83	-9,60%
CTKA4	11,00	1,29	-0,46	0,137	0,00%	0,115	0,35	1,41	-0,21	11,84	9,40	9,73%	10,63%	1,92	9,92%	-36,01%	82.233,10	-147.222.000,00	-3,71	11,99%
HBTS5	42,00	1,67	0,73	1,412	0,39%	0,285	-4,31	2,40	-0,55	2,75	2,74	58,87%	84,57%	0,59	12,18%	43,93%	3.674,00	522.913.000,00	0,15	51,90%
LUPA3	5,78	1,74	1,26	2,061	0,00%	0,328	1,00	-11,14	-1,35	-19,23	-29,56	-18,50%	118,45%	2,96	-3,13%	72,63%	11.086.100,00	133.184.000,00	1,04	-8,92%
AZEV4	3,13	1,82	3,82	3,785	0,00%	1,001	2,43	-9,37	-4,56	-6,14	-6,35	-40,39%	207,59%	4,84	-17,16%	209,67%	1.874.410,00	44.584.000,00	0,00	-37,76%
BRAP3	25,77	1,86	0,70	0,000	37,64%	0,694	3,97	-367,37	3,97	-274,70	-274,70	0,00%	0,00%	65,33	-0,23%	37,43%	8.564.160,00	14.547.000.000,00	0,00	0,00%
BRKM6	33,69	1,88	2,10	0,279	1,80%	0,284	2,50	1,04	-0,67	1,78	1,55	26,76%	14,95%	1,33	37,26%	112,04%	2.448,16	12.764.200.000,00	2,66	14,16%
BAZA3	38,50	2,02	0,40	0,000	6,74%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	19,80%	39.589,50	2.857.610.000,00	0,00	-1,70%
BRAP4	28,75	2,08	0,78	0,000	37,11%	0,775	4,43	-409,85	4,43	-317,19	-317,19	0,00%	0,00%	65,33	-0,23%	37,43%	207.984.000,00	14.547.000.000,00	0,00	0,00%
AZEV3	3,79	2,21	4,63	4,583	0,00%	1,212	2,95	-11,35	-5,52	-8,12	-8,39	-40,39%	207,59%	4,84	-17,16%	209,67%	288.783,00	44.584.000,00	0,00	-37,76%
RNEW4	2,39	2,26	-0,32	3,064	0,00%	0,099	0,73	-3,45	-0,11	-24,37	-25,84	-88,73%	135,64%	1,43	-3,27%	-13,99%	368.691,00	-828.222.000,00	-2,21	-50,33%
USIM3	15,00	2,29	0,93	0,603	8,64%	0,483	1,33	1,91	3,78	1,79	1,62	31,57%	30,44%	3,08	33,99%	40,77%	9.793.070,00	20.164.300.000,00	0,30	27,09%
MNDL3	36,72	2,33	-0,79	0,137	0,00%	0,075	-0,15	1,11	-0,10	4,32	3,70	12,31%	5,87%	0,40	7,19%	-33,94%	62.823,80	-115.403.000,00	-2,33	9,89%
RNEW11	7,55	2,38	-0,33	3,226	0,00%	0,104	0,77	-3,64	-0,12	-24,55	-26,04	-88,73%	135,64%	1,43	-3,27%	-13,99%	53.119,30	-828.222.000,00	-2,21	-50,33%
CSNA3	26,63	2,45	1,83	0,780	7,93%	0,486	3,24	1,88	-1,93	2,45	2,16	41,47%	34,71%	1,51	38,45%	74,69%	290.332.000,00	20.194.800.000,00	1,47	23,56%
USIM5	16,32	2,49	1,01	0,656	8,74%	0,525	1,45	2,08	4,11	1,96	1,78	31,57%	30,44%	3,08	33,99%	40,77%	294.355.000,00	20.164.300.000,00	0,30	27,09%
HAGA4	2,21	2,62	-0,40	0,583	0,00%	0,416	1,16	5,73	-0,34	5,11	3,75	10,18%	22,26%	1,76	17,79%	-15,13%	224.151,00	-66.331.300,00	-0,49	13,98%
CLSC3	61,80	2,63	0,97	0,173	6,96%	0,196	16,45	2,15	-0,40	3,13	2,58	8,03%	6,58%	1,04	11,21%	36,91%	21.827,60	2.459.540.000,00	0,74	15,50%
EUCA4	9,13	2,63	0,47	0,373	5,16%	0,269	1,97	2,04	-6,13	2,95	2,14	18,29%	14,89%	1,54	14,81%	18,00%	462.571,00	1.783.070.000,00	0,27	17,50%
RNEW3	2,79	2,64	-0,37	3,577	0,00%	0,115	0,86	-4,03	-0,13	-24,95	-26,46	-88,73%	135,64%	1,43	-3,27%	-13,99%	175.139,00	-828.222.000,00	-2,21	-50,33%
USIM6	17,93	2,73	1,11	0,721	7,95%	0,577	1,59	2,28	4,51	2,16	1,96	31,57%	30,44%	3,08	33,99%	40,77%	215,72	20.164.300.000,00	0,30	27,09%
CLSC4	64,60	2,75	1,01	0,181	7,32%	0,205	17,20	2,25	-0,42	3,23	2,66	8,03%	6,58%	1,04	11,21%	36,91%	635.287,00	2.459.540.000,00	0,74	15,50%
GOAU3	10,39	2,76	0,75	0,160	22,33%	0,147	0,47	0,69	3,82	1,13	0,98	23,18%	17,71%	2,80	27,30%	27,27%	816.090,00	15.012.200.000,00	1,14	13,10%
BRKM3	50,78	2,83	3,17	0,421	14,85%	0,429	3,76	1,57	-1,01	2,31	2,01	26,76%	14,95%	1,33	37,26%	112,04%	2.607.430,00	12.764.200.000,00	2,66	14,16%
FHER3	15,09	2,86	8,98	0,236	0,00%	0,333	1,48	1,64	-1,03	2,64	2,50	14,40%	8,25%	1,54	23,32%	314,38%	23.152.100,00	90.470.000,00	5,60	-13,97%
MRFG3	20,32	2,89	2,89	0,176	14,28%	0,298	1,57	1,28	-0,94	2,59	2,28	13,76%	8,47%	1,54	38,60%	99,93%	135.046.000,00	4.866.930.000,00	6,16	47,35%
BRKM5	54,09	3,02	3,38	0,448	13,94%	0,457	4,01	1,68	-1,07	2,41	2,10	26,76%	14,95%	1,33	37,26%	112,04%	210.020.000,00	12.764.200.000,00	2,66	14,16%
PEAB3	64,95	3,07	1,02	33,115	17,39%	0,911	1,70	-38,68	2,04	-17,78	-22,40	-85,62%	1.079,51%	40,28	-4,89%	33,18%	2.637,60	819.966.000,00	0,03	-48,79%
GGBR3	23,30	3,08	0,98	0,569	13,18%	0,532	1,80	2,45	28,76	2,99	2,59	23,20%	18,54%	2,70	27,37%	31,63%	1.177.640,00	41.083.000.000,00	0,42	13,10%
ETER3	17,09	3,13	1,95	0,993	1,41%	1,081	2,03	3,57	3,89	2,82	2,67	27,82%	31,72%	3,81	43,99%	62,32%	40.225.100,00	540.970.000,00	0,07	9,39%
GOAU4	11,80	3,13	0,85	0,182	19,66%	0,167	0,54	0,79	4,34	1,22	1,06	23,18%	17,71%	2,80	27,30%	27,27%	81.830.500,00	15.012.200.000,00	1,14	13,10%
CPLE3	6,50	3,14	0,82	0,778	18,32%	0,357	8,12	4,56	-1,12	5,99	4,73	17,07%	25,25%	1,22	9,27%	26,26%	6.145.960,00	21.564.100.000,00	0,49	12,70%
PETR4	32,63	3,15	1,15	1,082	17,32%	0,437	15,38	2,46	-0,98	3,97	2,89	43,99%	34,56%	1,20	19,61%	36,59%	1.951.930.000,00	369.077.000.000,00	0,88	4,96%
TKNO4	63,61	3,19	0,78	0,645	5,62%	0,544	1,49	4,03	1,66	4,23	3,85	15,99%	20,22%	2,37	16,14%	24,46%	2.202,65	240.202.000,00	0,14	22,88%
BOBR4	1,55	3,19	-3,52	0,365	0,00%	0,457	-1,59	13,55	-0,62	23,17	13,16	2,69%	11,43%	0,58	4,65%	-110,11%	73.312,70	-114.831.000,00	-2,75	0,61%
CTKA3	27,50	3,22	-1,16	0,342	0,00%	0,286	0,86	3,52	-0,52	13,95	11,08	9,73%	10,63%	1,92	9,92%	-36,01%	460,35	-147.222.000,00	-3,71	11,99%
DOHL4	5,84	3,25	0,63	0,644	3,50%	0,478	1,14	4,58	1,61	4,55	3,96	14,04%	19,80%	4,53	11,35%	19,35%	28.220,40	702.237.000,00	0,07	8,84%
CPLE11	35,46	3,43	0,90	0,849	0,00%	0,389	8,86	4,97	-1,22	6,41	5,06	17,07%	25,25%	1,22	9,27%	26,26%	13.751.800,00	21.564.100.000,00	0,49	12,70%
PETR3	35,91	3,47	1,27	1,191	15,74%	0,481	16,93	2,71	-1,08	4,22	3,08	43,99%	34,56%	1,20	19,61%	36,59%	659.431.000,00	369.077.000.000,00	0,88	4,96%
CPLE6	7,23	3,49	0,92	0,865	18,11%	0,397	9,03	5,07	-1,24	6,50	5,13	17,07%	25,25%	1,22	9,27%	26,26%	77.535.400,00	21.564.100.000,00	0,49	12,70%
PEAB4	75,00	3,54	1,18	38,240	16,57%	1,052	1,96	-44,66	2,36	-23,76	-29,94	-85,62%	1.079,51%	40,28	-4,89%	33,18%	3.695,88	819.966.000,00	0,03	-48,79%
PCAR3	21,51	3,59	0,44	0,223	10,08%	0,119	-165,57	2,14	-0,32	4,11	2,48	10,42%	6,73%	1,00	7,39%	12,18%	52.233.400,00	13.255.000.000,00	0,74	6,76%
TASA4	21,56	3,60	4,23	1,027	0,00%	1,367	3,95	3,40	353,45	3,86	3,71	30,16%	28,53%	2,03	49,06%	117,57%	20.615.800,00	601.833.000,00	0,86	32,41%
CESP3	23,02	3,61	1,01	3,499	12,78%	0,519	26,10	6,37	-1,26	7,66	5,70	54,97%	96,93%	1,37	8,49%	27,90%	122.931,00	7.485.270.000,00	0,26	10,03%
TASA3	21,93	3,66	4,30	1,044	0,00%	1,390	4,02	3,46	359,51	3,92	3,77	30,16%	28,53%	2,03	49,06%	117,57%	854.176,00	601.833.000,00	0,86	32,41%
CESP6	23,38	3,67	1,02	3,554	9,28%	0,527	26,51	6,46	-1,28	7,76	5,77	54,97%	96,93%	1,37	8,49%	27,90%	45.525.800,00	7.485.270.000,00	0,26	10,03%
DMMO3	0,97	3,67	-0,72	3,119	0,00%	2,272	-4,11	9,13	-0,60	8,86	6,05	34,17%	84,95%	0,41	38,44%	-19,49%	9.374.690,00	-690.833.000,00	-0,00	-19,02%
RAPT4	11,62	3,70	1,51	0,463	5,90%	0,370	1,37	3,36	-5,38	5,24	4,43	13,78%	15,91%	1,79	15,76%	40,90%	32.176.400,00	2.531.010.000,00	1,58	27,88%
GGBR4	28,78	3,81	1,20	0,703	10,67%	0,657	2,22	3,03	35,53	3,56	3,09	23,20%	18,54%	2,70	27,37%	31,63%	275.214.000,00	41.083.000.000,00	0,42	13,10%
BGIP4	23,13	3,83	0,63	0,000	5,38%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	16,58%	5.381,47	556.943.000,00	0,00	2,38%
RAPT3	12,13	3,86	1,58	0,484	5,65%	0,386	1,43	3,51	-5,61	5,39	4,55	13,78%	15,91%	1,79	15,76%	40,90%	163.645,00	2.531.010.000,00	1,58	27,88%
DEXP4	8,20	3,91	1,69	0,516	0,00%	0,648	2,56	4,32	179,28	5,17	4,52	11,93%	15,56%	1,88	17,46%	43,15%	52.932,80	456.531.000,00	0,46	31,29%
ALLD3	14,40	3,95	0,88	0,234	5,23%	0,323	1,40	3,66	3,52	3,50	2,96	6,40%	5,93%	1,47	19,42%	22,32%	2.528.820,00	1.523.640.000,00	0,27	0,00%
CGRA4	38,25	3,99	0,96	1,267	3,59%	0,721	2,08	6,73	2,82	5,99	5,27	18,82%	31,72%	3,17	12,96%	24,08%	338.929,00	768.149.000,00	0,00	7,31%
CGRA3	38,99	4,07	0,98	1,291	3,52%	0,735	2,12	6,86	2,87	6,12	5,38	18,82%	31,72%	3,17	12,96%	24,08%	53.807,00	768.149.000,00	0,00	7,31%
EPAR3	14,52	4,08	3,00	0,246	0,00%	0,976	3,53	3,90	287,33	4,05	3,64	6,32%	6,03%	1,69	36,90%	73,44%	30.998,60	71.941.000,00	0,56	51,02%
CESP5	26,10	4,09	1,14	3,967	2,96%	0,588	29,60	7,22	-1,43	8,51	6,33	54,97%	96,93%	1,37	8,49%	27,90%	6.457,72	7.485.270.000,00	0,26	10,03%
EUCA3	14,29	4,12	0,74	0,584	3,00%	0,421	3,08	3,19	-9,60	4,10	2,97	18,29%	14,89%	1,54	14,81%	18,00%	122.006,00	1.783.070.000,00	0,27	17,50%
POSI3	9,00	4,16	1,08	0,406	3,79%	0,384	1,23	5,14	2,21	6,53	5,56	7,91%	9,89%	1,63	12,61%	25,86%	35.995.800,00	1.187.040.000,00	0,62	12,12%
CTSA4	1,27	4,16	0,44	0,233	0,00%	0,202	7,70	5,26	-1,47	12,36	8,46	4,44%	5,61%	1,07	4,57%	10,61%	132.395,00	320.486.000,00	0,66	8,24%
TRPL4	23,90	4,20	1,08	3,580	15,02%	0,559	7,26	3,63	-1,65	4,83	4,80	98,67%	85,60%	2,38	16,12%	25,80%	25.062.100,00	14.543.000.000,00	0,44	15,75%
CEPE5	25,00	4,32	0,99	0,218	9,91%	0,152	-4,00	1,74	-0,27	6,76	5,15	12,56%	5,06%	0,88	9,93%	22,87%	3.431,14	1.890.000.000,00	3,02	-2,64%
PATI4	60,00	4,33	1,63	0,566	3,02%	0,722	1,29	3,57	2,33	4,22	4,12	15,86%	13,05%	2,81	31,70%	37,71%	1.350,77	878.602.000,00	0,74	29,02%
JHSF3	5,95	4,44	0,92	2,128	6,63%	0,508	2,74	3,64	-3,29	4,61	4,41	58,52%	47,73%	2,87	15,87%	20,69%	27.326.500,00	4.443.130.000,00	0,43	52,11%
CEDO4	5,35	4,48	0,39	0,059	0,00%	0,069	-1,12	0,90	-0,22	4,12	3,14	6,51%	0,97%	0,89	9,51%	8,60%	44.085,80	138.726.000,00	1,52	7,29%
BRSR6	10,25	4,49	0,48	0,000	9,31%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	10,67%	24.958.900,00	8.747.130.000,00	0,00	8,84%
JBSS3	34,24	4,51	1,75	0,247	9,32%	0,415	2,95	3,03	-1,22	5,26	3,98	8,14%	5,47%	1,53	18,61%	38,74%	334.752.000,00	46.554.500.000,00	1,81	19,36%
CEPE6	26,11	4,51	1,03	0,228	10,44%	0,159	-4,18	1,82	-0,28	6,83	5,21	12,56%	5,06%	0,88	9,93%	22,87%	3.114,72	1.890.000.000,00	3,02	-2,64%
NEOE3	16,04	4,54	0,82	0,467	2,73%	0,240	-12,25	2,40	-0,50	6,06	4,91	19,45%	10,63%	0,92	11,44%	17,96%	28.102.300,00	23.854.000.000,00	1,43	19,75%
DEXP3	9,64	4,60	1,99	0,607	2,91%	0,762	3,01	5,08	210,76	5,93	5,18	11,93%	15,56%	1,88	17,46%	43,15%	4.223.100,00	456.531.000,00	0,46	31,29%
BNBR3	70,00	4,71	0,85	0,000	6,83%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	18,00%	5.729,51	7.127.650.000,00	0,00	18,39%
VALE3	87,98	4,72	2,49	1,493	17,13%	0,956	21,21	2,48	-2,53	2,56	2,35	60,25%	31,39%	1,24	46,56%	52,78%	1.913.120.000,00	181.296.000.000,00	0,41	27,44%
PLPL3	3,78	4,91	2,35	0,619	5,18%	0,654	0,84	2,23	3,29	2,51	2,41	27,77%	12,59%	6,40	39,05%	47,90%	2.697.120,00	328.039.000,00	0,98	0,00%
TAEE4	12,53	4,94	1,87	3,296	11,98%	0,804	10,10	4,35	-1,94	6,38	6,34	75,72%	66,67%	2,04	19,80%	37,82%	2.115.160,00	6.925.830.000,00	1,01	40,27%
TAEE11	37,65	4,95	1,87	3,301	11,96%	0,805	10,11	4,36	-1,95	6,39	6,35	75,72%	66,67%	2,04	19,80%	37,82%	79.750.300,00	6.925.830.000,00	1,01	40,27%
TAEE3	12,57	4,96	1,88	3,306	11,94%	0,807	10,13	4,37	-1,95	6,39	6,35	75,72%	66,67%	2,04	19,80%	37,82%	969.376,00	6.925.830.000,00	1,01	40,27%
PATI3	69,00	4,98	1,88	0,650	2,62%	0,830	1,49	4,10	2,68	4,76	4,64	15,86%	13,05%	2,81	31,70%	37,71%	1.267,70	878.602.000,00	0,74	29,02%
SAPR3	3,81	5,06	0,76	1,138	5,31%	0,402	7,70	2,77	-1,24	4,21	3,55	41,08%	22,48%	1,55	15,99%	15,00%	1.826.670,00	7.577.640.000,00	0,54	7,99%
BRSR3	11,70	5,13	0,55	0,000	8,15%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	10,67%	63.862,80	8.747.130.000,00	0,00	8,84%
CEEB3	33,70	5,17	1,39	0,625	18,09%	0,377	-14,18	3,18	-0,72	6,58	5,33	19,69%	12,09%	0,89	12,94%	26,85%	63.483,70	6.361.000.000,00	1,55	16,06%
HBOR3	4,11	5,19	0,41	0,548	1,15%	0,129	0,30	7,72	1,16	20,13	16,26	7,10%	16,88%	2,76	1,86%	7,92%	4.576.810,00	1.338.550.000,00	0,93	25,27%
ALUP3	8,36	5,23	1,11	1,129	3,35%	0,300	4,23	1,59	-0,70	3,31	3,21	71,09%	42,99%	1,85	20,31%	21,29%	90.405,20	6.603.890.000,00	1,43	50,09%
CSRN3	15,15	5,23	1,72	0,725	13,50%	0,497	-90,94	3,94	-1,06	6,41	5,38	18,42%	13,87%	0,98	14,49%	32,82%	9.447,35	1.483.000.000,00	1,23	14,29%
CMIG4	12,81	5,26	1,07	0,703	9,18%	0,408	7,85	4,24	-1,11	5,84	4,87	16,58%	13,36%	1,26	10,98%	20,34%	95.561.500,00	20.262.200.000,00	0,56	9,89%
CSRN5	15,25	5,27	1,73	0,730	14,75%	0,500	-91,54	3,96	-1,06	6,43	5,40	18,42%	13,87%	0,98	14,49%	32,82%	358,93	1.483.000.000,00	1,23	14,29%
ALUP11	25,27	5,27	1,12	1,137	3,32%	0,302	4,26	1,60	-0,71	3,32	3,22	71,09%	42,99%	1,85	20,31%	21,29%	18.676.500,00	6.603.890.000,00	1,43	50,09%
MNPR3	6,40	5,28	-0,13	0,149	0,00%	0,177	-0,12	1,05	-0,09	1,06	0,91	14,21%	2,83%	0,23	17,69%	-2,39%	57.815,50	-360.965.000,00	-0,00	11,54%
ENAT3	15,73	5,28	1,21	3,203	1,23%	0,721	2,04	11,43	7,55	7,31	2,62	28,03%	60,67%	3,47	11,35%	22,84%	17.832.200,00	3.467.240.000,00	0,26	30,68%
EALT4	6,93	5,28	0,80	0,461	18,22%	0,324	4,31	4,53	-2,26	7,20	5,36	10,17%	8,72%	1,20	8,05%	15,17%	290.528,00	194.506.000,00	0,61	19,01%
SAPR11	19,92	5,30	0,79	1,190	5,48%	0,420	8,05	2,90	-1,30	4,34	3,66	41,08%	22,48%	1,55	15,99%	15,00%	30.098.900,00	7.577.640.000,00	0,54	7,99%
LIGT3	10,80	5,30	0,46	0,266	4,08%	0,148	0,92	2,15	-0,41	6,00	4,46	12,36%	5,02%	2,05	8,53%	8,68%	26.433.300,00	8.749.760.000,00	1,22	7,58%
SAPR4	3,99	5,30	0,80	1,192	5,57%	0,421	8,07	2,90	-1,30	4,34	3,66	41,08%	22,48%	1,55	15,99%	15,00%	13.819.800,00	7.577.640.000,00	0,54	7,99%
ALUP4	8,49	5,31	1,13	1,146	3,30%	0,305	4,30	1,61	-0,71	3,33	3,24	71,09%	42,99%	1,85	20,31%	21,29%	109.418,00	6.603.890.000,00	1,43	50,09%
BBAS3	32,23	5,31	0,68	0,000	7,03%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	12,72%	401.954.000,00	136.731.000.000,00	0,00	2,19%
TRPL3	30,51	5,36	1,38	4,571	11,76%	0,713	9,27	4,63	-2,11	5,83	5,80	98,67%	85,60%	2,38	16,12%	25,80%	80.569,80	14.543.000.000,00	0,44	15,75%
ESPA3	6,03	5,36	2,13	1,954	2,36%	0,672	8,58	7,01	-2,53	9,95	7,48	27,88%	37,36%	1,23	11,08%	39,75%	23.354.100,00	691.061.000,00	1,29	0,00%
BGIP3	33,12	5,48	0,91	0,000	3,42%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	16,58%	792,07	556.943.000,00	0,00	2,38%
ENGI4	7,36	5,48	1,53	0,521	10,73%	0,258	4,37	2,97	-0,48	6,65	5,21	17,58%	10,46%	1,28	10,12%	27,84%	261.247,00	8.748.260.000,00	2,40	16,79%
LAVV3	5,49	5,53	0,84	1,683	12,77%	0,588	1,11	5,51	1,38	2,62	2,62	30,57%	34,75%	4,42	16,24%	15,17%	4.564.300,00	1.362.660.000,00	0,04	0,00%
ROMI3	15,40	5,54	1,17	0,816	5,04%	0,578	1,92	5,45	6,46	7,42	6,16	14,98%	14,76%	2,02	12,56%	21,15%	15.816.500,00	963.288.000,00	0,60	18,66%
CSRN6	16,10	5,56	1,82	0,771	13,98%	0,528	-96,64	4,19	-1,12	6,66	5,58	18,42%	13,87%	0,98	14,49%	32,82%	273,88	1.483.000.000,00	1,23	14,29%
UNIP3	94,99	5,66	3,54	1,654	14,78%	1,477	5,91	4,88	-12,58	4,63	4,16	33,88%	29,60%	2,19	42,37%	62,57%	3.936.900,00	2.534.710.000,00	0,38	17,73%
POMO3	2,61	5,66	0,87	0,716	4,10%	0,382	1,45	102,69	-9,85	151,24	28,94	0,70%	12,44%	2,05	0,49%	15,36%	844.891,00	2.843.210.000,00	0,83	3,75%
CMIN3	7,12	5,68	2,80	1,874	6,57%	1,404	5,55	3,48	93,84	2,84	2,55	53,82%	33,00%	1,97	77,14%	49,22%	62.464.700,00	14.239.600.000,00	0,33	0,00%
VBBR3	22,64	5,71	2,34	0,229	8,95%	0,892	2,90	8,38	-8,59	11,17	9,49	2,73%	4,01%	2,49	12,83%	40,93%	175.187.000,00	11.287.000.000,00	0,96	3,95%
UNIP5	96,65	5,75	3,60	1,683	15,98%	1,502	6,01	4,97	-12,80	4,71	4,24	33,88%	29,60%	2,19	42,37%	62,57%	109.921,00	2.534.710.000,00	0,38	17,73%
ENBR3	20,91	5,93	1,11	0,654	7,58%	0,362	17,87	3,21	-1,01	5,34	4,51	20,37%	12,44%	1,08	12,76%	18,65%	68.491.600,00	10.996.900.000,00	0,90	10,71%
UNIP6	99,70	5,94	3,71	1,736	15,49%	1,550	6,20	5,12	-13,20	4,87	4,38	33,88%	29,60%	2,19	42,37%	62,57%	35.342.300,00	2.534.710.000,00	0,38	17,73%
CEDO3	7,10	5,95	0,51	0,078	0,00%	0,091	-1,49	1,20	-0,29	4,42	3,37	6,51%	0,97%	0,89	9,51%	8,60%	6.118,88	138.726.000,00	1,52	7,29%
BMEB4	10,80	5,95	1,02	0,000	6,01%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	17,08%	197.122,00	1.112.840.000,00	0,00	16,65%
PTNT4	6,22	6,02	1,00	0,387	3,26%	0,380	1,89	4,35	49,85	5,52	3,84	8,90%	7,82%	1,60	12,64%	16,59%	104.813,00	299.139.000,00	0,77	9,91%
CRPG5	60,25	6,06	2,01	1,793	8,32%	1,463	2,94	7,74	4,22	6,78	6,13	23,18%	29,59%	5,15	24,33%	33,15%	911.878,00	870.219.000,00	0,00	12,56%
RANI3	6,16	6,18	1,66	1,067	5,75%	0,755	3,27	4,19	-4,92	4,91	3,98	25,47%	17,26%	2,45	23,62%	26,82%	7.474.000,00	954.241.000,00	0,67	12,51%
GEPA3	32,00	6,24	1,58	2,333	9,19%	0,783	-5,11	2,96	-1,83	4,07	3,70	78,92%	37,38%	0,34	31,30%	25,35%	1.204,19	1.909.890.000,00	0,65	-1,01%
PTBL3	8,31	6,25	3,28	0,681	12,41%	0,551	4,47	4,03	-1,52	5,64	4,55	16,89%	10,89%	1,36	18,48%	52,51%	8.685.200,00	373.390.000,00	2,20	14,03%
CTSA3	1,91	6,25	0,66	0,351	0,00%	0,305	11,59	7,91	-2,21	15,01	10,27	4,44%	5,61%	1,07	4,57%	10,61%	64.519,30	320.486.000,00	0,66	8,24%
GEPA4	32,20	6,28	1,59	2,347	9,13%	0,787	-5,14	2,97	-1,84	4,09	3,72	78,92%	37,38%	0,34	31,30%	25,35%	13.726,30	1.909.890.000,00	0,65	-1,01%
CRPG6	62,99	6,34	2,10	1,875	7,96%	1,530	3,07	8,09	4,41	7,14	6,45	23,18%	29,59%	5,15	24,33%	33,15%	19.050,90	870.219.000,00	0,00	12,56%
PFRM3	4,88	6,37	0,54	0,097	5,54%	0,157	0,66	2,60	6,26	4,51	2,99	3,76%	1,57%	1,60	8,95%	8,54%	603.569,00	1.111.030.000,00	0,57	10,84%
