Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
ENGI11	43,36	6,46	1,80	0,614	9,11%	0,304	5,15	3,49	-0,56	7,18	5,62	17,58%	10,46%	1,28	10,12%	27,84%	71.202.700,00	8.748.260.000,00	2,40	16,79%
CEAB3	5,99	6,50	0,65	0,366	0,00%	0,243	1,56	-12,00	-1,09	-14,63	3,77	-3,05%	5,64%	1,62	-2,76%	9,99%	15.484.500,00	2.841.200.000,00	0,48	24,05%
BMEB3	11,80	6,51	1,11	0,000	5,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	17,08%	29.843,00	1.112.840.000,00	0,00	16,65%
CIEL3	2,33	6,52	0,64	1,268	7,30%	0,064	1,17	7,68	-3,85	3,34	2,07	16,50%	19,44%	1,07	7,76%	9,81%	61.990.500,00	9.890.590.000,00	0,41	-22,91%
BMGB4	3,04	6,57	0,45	0,000	10,38%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	6,88%	3.381.880,00	3.922.500.000,00	0,00	2,84%
EQTL3	23,96	6,59	2,03	1,092	3,00%	0,436	3,23	4,71	-1,10	7,10	6,20	23,17%	19,33%	1,61	11,95%	30,77%	134.578.000,00	11.941.100.000,00	1,83	27,74%
CYRE3	15,98	6,67	1,03	1,410	6,80%	0,485	1,24	8,24	8,78	9,78	9,24	17,11%	22,92%	3,41	7,23%	15,46%	114.602.000,00	6.198.680.000,00	0,55	14,98%
POMO4	3,08	6,68	1,03	0,845	3,47%	0,450	1,71	121,18	-11,62	169,73	32,47	0,70%	12,44%	2,05	0,49%	15,36%	17.747.000,00	2.843.210.000,00	0,83	3,75%
BEES3	5,00	6,68	0,86	0,000	6,87%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	12,87%	77.601,60	1.837.760.000,00	0,00	5,53%
SUZB3	60,58	6,74	6,10	2,199	1,22%	0,727	3,98	5,92	-1,18	10,12	6,76	37,11%	32,62%	3,32	15,18%	90,48%	340.419.000,00	13.518.500.000,00	5,71	41,36%
EKTR4	26,90	6,85	1,80	0,638	11,93%	0,492	19,82	4,09	-1,23	6,93	5,66	15,60%	9,31%	1,08	14,59%	26,30%	13.573,20	2.895.000.000,00	1,57	11,65%
CSMG3	13,41	6,87	0,77	0,882	7,04%	0,401	6,54	4,02	-1,56	6,02	3,92	21,91%	12,83%	1,39	11,50%	11,15%	22.992.700,00	6.654.040.000,00	0,60	8,21%
MYPK3	14,05	6,89	0,53	0,169	7,16%	0,150	1,27	2,44	-0,71	7,65	4,60	6,95%	3,33%	1,32	7,74%	7,70%	20.542.200,00	4.074.170.000,00	1,38	10,96%
MTSA4	40,06	6,99	1,18	0,681	5,64%	0,803	1,64	5,16	1,72	5,08	4,53	13,19%	9,74%	2,67	19,64%	16,87%	181.846,00	310.469.000,00	0,18	21,18%
MDNE3	6,28	7,01	0,50	0,799	0,00%	0,217	1,01	6,42	-1,76	5,78	5,43	12,46%	11,88%	1,93	3,72%	7,16%	1.917.010,00	1.062.900.000,00	0,13	2,53%
ABCB4	16,14	7,04	0,80	0,000	5,68%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	11,37%	13.994.000,00	4.554.960.000,00	0,00	-18,69%
WIZS3	8,04	7,05	3,29	1,470	7,57%	1,054	3,87	3,34	-7,12	2,54	2,30	44,05%	22,63%	2,12	58,73%	46,65%	15.170.900,00	391.028.000,00	0,57	14,81%
TRIS3	6,08	7,13	0,91	1,325	3,97%	0,489	0,91	6,11	1,54	7,21	7,17	21,69%	20,46%	3,50	9,94%	12,82%	8.654.700,00	1.241.240.000,00	0,48	22,85%
DXCO3	13,77	7,25	1,74	1,341	11,32%	0,840	5,55	6,92	-5,56	8,05	5,48	19,38%	18,51%	1,70	15,42%	24,04%	48.697.500,00	6.013.800.000,00	0,52	16,35%
BPAC5	4,56	7,26	1,45	0,000	2,81%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	19,92%	145.110,00	36.259.400.000,00	0,00	33,79%
CMIG3	17,72	7,28	1,48	0,973	6,64%	0,565	10,86	5,87	-1,53	7,46	6,22	16,58%	13,36%	1,26	10,98%	20,34%	5.702.920,00	20.262.200.000,00	0,56	9,89%
LEVE3	30,69	7,33	2,29	1,141	3,01%	1,349	4,80	5,83	9,50	5,75	5,00	19,58%	15,59%	2,03	29,23%	31,22%	11.193.000,00	1.719.860.000,00	0,14	7,79%
CPFE3	28,30	7,38	2,21	0,868	13,08%	0,529	16,97	4,81	-1,05	6,97	5,75	18,04%	12,01%	1,14	13,04%	29,96%	66.146.000,00	14.756.100.000,00	1,33	8,76%
VULC3	8,66	7,41	1,67	1,247	4,04%	1,021	2,82	13,46	3,53	14,85	10,25	9,27%	16,83%	2,15	8,80%	22,53%	5.127.710,00	1.274.530.000,00	0,29	1,28%
EMAE4	50,00	7,44	2,29	3,715	3,72%	1,174	4,50	10,28	-8,02	8,64	8,37	36,14%	49,92%	4,29	14,19%	30,76%	540.258,00	807.010.000,00	0,00	28,11%
BBDC3	18,77	7,53	1,24	0,000	4,95%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	16,42%	119.645.000,00	147.606.000.000,00	0,00	24,08%
CRPG3	75,78	7,62	2,53	2,256	0,00%	1,840	3,69	9,73	5,31	8,78	7,94	23,18%	29,59%	5,15	24,33%	33,15%	176,23	870.219.000,00	0,00	12,56%
BEES4	5,71	7,63	0,98	0,000	6,02%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	12,87%	11.846,70	1.837.760.000,00	0,00	5,53%
SANB3	15,27	7,64	0,00	0,000	8,50%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	1.446.280,00	0,00	0,00	6,83%
SHUL4	8,56	7,65	1,81	0,956	2,18%	0,719	1,65	10,51	9,95	13,02	9,97	9,10%	12,50%	2,82	10,05%	23,64%	1.946.280,00	845.771.000,00	1,03	21,15%
ITSA4	10,27	7,72	1,45	11,609	4,70%	1,120	31,98	67,53	-12,99	70,70	46,03	17,19%	162,03%	1,59	1,77%	18,76%	243.679.000,00	62.602.000.000,00	0,13	10,13%
ITSA3	10,32	7,76	1,46	11,665	4,68%	1,125	32,14	67,86	-13,06	71,03	46,24	17,19%	162,03%	1,59	1,77%	18,76%	1.577.050,00	62.602.000.000,00	0,13	10,13%
AGRO3	27,94	7,79	1,23	1,943	9,38%	0,801	2,33	5,85	4,11	5,04	3,65	33,22%	24,95%	2,72	23,34%	15,80%	16.580.700,00	2.324.940.000,00	0,34	49,03%
MOVI3	15,67	7,82	1,79	1,239	2,10%	0,288	0,80	4,47	-0,79	8,96	7,11	27,74%	15,85%	4,10	12,58%	22,86%	36.682.500,00	3.178.130.000,00	4,40	20,56%
BRSR5	18,00	7,89	0,84	0,000	6,65%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	10,67%	457,40	8.747.130.000,00	0,00	8,84%
EQMA3B	40,70	7,91	2,14	1,326	11,34%	0,875	7,35	5,67	-4,24	6,66	5,66	23,38%	16,76%	1,45	19,75%	27,07%	55.726,20	3.119.880.000,00	0,71	9,36%
CSAN3	23,31	7,99	3,08	1,977	2,70%	0,481	2,47	13,00	-1,16	22,34	14,76	15,21%	26,71%	2,92	4,65%	38,60%	138.098.000,00	14.162.100.000,00	3,32	28,74%
CAML3	9,08	7,99	1,17	0,392	2,72%	0,414	1,14	6,18	-33,87	9,58	8,90	6,34%	4,90%	2,35	10,39%	14,63%	17.778.000,00	2.872.440.000,00	1,31	24,88%
CRIV3	5,15	8,00	0,52	0,000	0,49%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	6,48%	5.417,93	1.023.020.000,00	0,00	-2,58%
CGAS5	122,50	8,00	7,64	1,539	10,94%	1,201	5,58	6,66	-2,81	8,67	7,40	23,09%	19,22%	2,07	25,25%	95,46%	1.020.600,00	2.124.610.000,00	3,39	17,70%
JSLG3	6,92	8,02	1,47	3,904	3,42%	0,318	2,14	21,38	-0,68	50,08	14,54	18,26%	49,01%	1,88	1,66%	18,36%	2.800.550,00	1.345.200.000,00	2,32	-41,06%
SANB11	32,29	8,07	0,00	0,000	8,44%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	91.413.000,00	0,00	0,00	6,83%
ELET6	33,16	8,10	0,68	1,751	3,19%	0,269	2,80	-14,78	-0,73	-21,82	-46,60	-11,84%	21,84%	1,70	-2,13%	8,44%	86.766.800,00	76.128.500.000,00	0,64	-7,43%
MOAR3	410,00	8,12	3,80	-9.099,470	12,24%	2,443	12,12	-142,78	-39,70	-138,75	-142,08	6.373,01%	-112.119,00%	3,15	-2,34%	46,81%	1.263.800,00	1.322.230.000,00	0,31	176,34%
ELET3	33,69	8,23	0,69	1,778	2,85%	0,274	2,84	-15,02	-0,74	-22,06	-47,11	-11,84%	21,84%	1,70	-2,13%	8,44%	173.467.000,00	76.128.500.000,00	0,64	-7,43%
KLBN4	4,86	8,24	5,06	1,797	1,51%	0,669	3,15	6,24	-1,34	10,80	6,80	28,80%	23,38%	2,60	14,87%	61,39%	2.549.500,00	5.398.000.000,00	5,35	15,23%
LPSB3	3,15	8,36	2,12	2,094	0,00%	1,059	4,69	8,72	-10,59	6,29	4,71	24,02%	33,43%	2,25	17,77%	25,32%	3.840.110,00	219.415.000,00	0,00	18,22%
ITUB3	22,34	8,38	1,60	0,000	3,86%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	19,12%	20.508.400,00	136.812.000.000,00	0,00	-35,57%
SEER3	11,18	8,44	0,99	1,069	1,88%	0,453	5,68	7,54	-1,57	7,96	4,10	14,19%	12,67%	1,46	6,98%	11,68%	6.369.520,00	1.459.580.000,00	0,33	2,44%
CGAS3	130,00	8,49	8,11	1,633	9,37%	1,274	5,93	7,07	-2,98	9,08	7,74	23,09%	19,22%	2,07	25,25%	95,46%	73.884,60	2.124.610.000,00	3,39	17,70%
EALT3	11,18	8,52	1,29	0,744	10,27%	0,523	6,96	7,31	-3,65	9,98	7,44	10,17%	8,72%	1,20	8,05%	15,17%	2.007,19	194.506.000,00	0,61	19,01%
CURY3	7,72	8,54	3,70	1,415	7,32%	1,035	2,59	6,32	10,86	5,86	5,76	22,39%	17,46%	2,15	23,27%	43,37%	6.791.360,00	608.658.000,00	0,64	0,00%
SANB4	17,09	8,55	0,00	0,000	8,35%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	1.922.870,00	0,00	0,00	6,83%
KLBN11	25,30	8,58	5,27	1,871	1,45%	0,696	3,28	6,50	-1,40	11,06	6,96	28,80%	23,38%	2,60	14,87%	61,39%	125.305.000,00	5.398.000.000,00	5,35	15,23%
EKTR3	33,73	8,58	2,26	0,800	8,65%	0,617	24,85	5,13	-1,54	7,97	6,51	15,60%	9,31%	1,08	14,59%	26,30%	394,61	2.895.000.000,00	1,57	11,65%
MRVE3	12,46	8,59	1,00	0,871	3,47%	0,306	1,16	7,96	-1,65	12,91	11,00	10,94%	11,35%	2,17	4,25%	11,69%	64.223.100,00	5.993.850.000,00	0,83	11,28%
WHRL3	6,33	8,73	3,79	0,839	9,27%	1,049	9,75	9,24	18,20	8,11	6,91	9,09%	9,63%	1,16	35,93%	43,37%	17.191,60	2.511.990.000,00	0,44	6,66%
EZTC3	19,14	8,74	0,99	4,163	2,22%	0,859	2,32	15,85	2,68	12,16	11,99	26,27%	49,63%	6,45	6,89%	11,33%	43.413.300,00	4.389.920.000,00	0,00	11,42%
PSSA3	19,18	8,74	1,37	0,606	6,81%	0,315	5,91	0,76	-2,61	0,24	0,24	79,63%	6,93%	1,09	52,77%	15,64%	40.806.400,00	9.069.150.000,00	0,00	4,66%
EEEL4	399,00	8,76	2,02	3,255	8,35%	0,868	3,30	9,72	-3,90	9,95	9,43	33,48%	36,13%	4,24	10,39%	23,06%	927,91	1.906.490.000,00	0,36	2,31%
RSUL4	74,04	8,79	6,41	1,462	0,00%	1,542	10,06	7,44	-4,99	7,45	6,79	19,65%	16,64%	1,51	23,78%	72,96%	252.712,00	67.340.000,00	0,23	22,89%
EEEL3	400,00	8,79	2,03	3,263	7,57%	0,870	3,30	9,74	-3,91	9,98	9,45	33,48%	36,13%	4,24	10,39%	23,06%	930,23	1.906.490.000,00	0,36	2,31%
CRIV4	5,66	8,79	0,57	0,000	7,93%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	6,48%	7.360,14	1.023.020.000,00	0,00	-2,58%
FRAS3	12,90	8,84	2,56	1,126	2,33%	0,904	3,40	8,34	-7,38	10,18	7,66	13,51%	12,72%	2,05	14,04%	28,94%	3.201.360,00	1.097.400.000,00	0,89	29,89%
COCE5	53,75	8,95	1,20	0,572	6,73%	0,386	-1.630,25	6,79	-0,98	11,68	7,50	8,42%	6,39%	1,00	6,81%	13,42%	474.809,00	3.486.140.000,00	0,96	11,75%
LOGG3	27,84	8,99	0,86	19,339	1,17%	0,551	5,03	26,07	-3,63	35,03	34,78	74,18%	225,83%	2,20	2,29%	9,55%	19.085.100,00	3.314.120.000,00	0,40	11,83%
TGMA3	14,77	9,07	1,46	0,960	5,32%	0,961	3,53	7,93	7,55	7,78	6,60	12,11%	10,55%	2,39	16,29%	16,07%	5.214.120,00	668.634.000,00	0,30	-1,19%
BRIV4	7,90	9,18	0,45	0,000	7,59%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	4,86%	15.033,40	1.568.880.000,00	0,00	36,93%
BBDC4	22,93	9,19	1,51	0,000	4,46%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	16,42%	887.684.000,00	147.606.000.000,00	0,00	24,08%
ATOM3	3,38	9,22	3,95	2,328	8,88%	2,598	2,71	10,95	4,08	8,55	8,46	21,26%	25,25%	46,94	55,90%	42,88%	175.572,00	17.865.000,00	0,00	106,55%
REDE3	6,56	9,29	3,73	0,946	14,90%	0,575	7,60	4,51	-1,17	6,99	5,77	21,00%	13,89%	1,35	14,70%	40,20%	7.871,14	3.706.950.000,00	2,48	11,65%
BRIV3	8,02	9,32	0,45	0,000	0,18%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	4,86%	6.281,09	1.568.880.000,00	0,00	36,93%
SLCE3	47,38	9,44	2,80	1,795	2,01%	0,785	8,35	6,19	-2,70	7,57	7,00	28,98%	20,19%	1,30	14,81%	29,65%	55.625.700,00	3.595.110.000,00	0,83	24,97%
FESA4	47,85	9,52	1,93	1,946	1,89%	1,352	4,85	6,70	13,71	6,61	5,30	29,04%	20,44%	3,33	24,62%	20,30%	23.657.600,00	2.185.840.000,00	0,19	14,68%
WHRL4	6,91	9,53	4,13	0,916	9,35%	1,145	10,65	10,09	19,87	8,96	7,63	9,09%	9,63%	1,16	35,93%	43,37%	90.649,50	2.511.990.000,00	0,44	6,66%
SBSP3	35,87	9,54	1,00	1,270	1,11%	0,462	26,55	5,43	-1,14	8,48	5,71	23,38%	13,31%	1,15	9,28%	10,49%	89.176.300,00	24.505.800.000,00	0,73	7,50%
ITUB4	25,46	9,54	1,82	0,000	3,39%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	19,12%	771.071.000,00	136.812.000.000,00	0,00	-35,57%
BEEF3	9,04	9,76	11,36	0,218	10,80%	0,269	0,79	2,84	-1,01	5,84	5,01	7,69%	2,24%	1,92	21,95%	116,49%	66.386.400,00	483.053.000,00	28,66	20,77%
UCAS3	3,82	9,78	1,53	1,237	5,59%	0,931	4,68	9,01	7,49	6,97	5,24	13,73%	12,65%	1,63	14,76%	15,62%	179.316,00	165.283.000,00	0,10	4,17%
CARD3	13,53	9,78	1,77	1,124	3,59%	1,014	26,62	6,83	-8,81	7,02	4,07	16,46%	11,50%	1,14	19,32%	18,07%	3.444.660,00	320.074.000,00	0,35	1,47%
COCE3	58,92	9,81	1,32	0,627	6,14%	0,423	-1.787,06	7,44	-1,07	12,33	7,92	8,42%	6,39%	1,00	6,81%	13,42%	530,02	3.486.140.000,00	0,96	11,75%
ASAI3	12,90	9,82	7,23	0,684	0,85%	0,836	-60,74	8,03	-1,83	10,47	10,31	8,52%	7,12%	0,97	17,20%	73,65%	132.689.000,00	2.402.000.000,00	3,40	0,00%
TEND3	14,13	9,89	1,00	0,544	1,26%	0,322	0,87	4,45	-4,81	5,35	4,84	12,24%	5,38%	2,56	9,62%	10,06%	17.096.700,00	1.480.680.000,00	0,90	19,58%
FESA3	50,00	9,95	2,02	2,034	1,65%	1,412	5,07	7,00	14,32	6,91	5,54	29,04%	20,44%	3,33	24,62%	20,30%	19.364,00	2.185.840.000,00	0,19	14,68%
KLBN3	5,87	9,95	6,11	2,171	1,25%	0,808	3,81	7,54	-1,62	12,10	7,62	28,80%	23,38%	2,60	14,87%	61,39%	574.722,00	5.398.000.000,00	5,35	15,23%
HAGA3	8,42	9,98	-1,51	2,222	0,00%	1,585	4,43	21,83	-1,30	21,20	15,58	10,18%	22,26%	1,76	17,79%	-15,13%	523.261,00	-66.331.300,00	-0,49	13,98%
CRFB3	15,80	10,24	1,85	0,409	5,74%	0,579	16,14	6,24	-3,39	8,18	6,61	6,55%	4,25%	1,08	11,79%	18,09%	69.247.300,00	16.925.000.000,00	0,71	13,49%
ENGI3	14,10	10,50	2,92	0,999	5,60%	0,495	8,38	5,68	-0,92	9,37	7,34	17,58%	10,46%	1,28	10,12%	27,84%	137.501,00	8.748.260.000,00	2,40	16,79%
PRNR3	6,73	10,58	1,13	0,686	0,80%	0,731	2,68	9,80	3,53	8,95	4,97	7,00%	6,73%	1,94	9,76%	10,72%	814.558,00	230.946.000,00	0,21	3,56%
DOHL3	19,00	10,58	2,05	2,094	0,98%	1,556	3,72	14,92	5,25	14,88	12,95	14,04%	19,80%	4,53	11,35%	19,35%	90,70	702.237.000,00	0,07	8,84%
BTTL3	20,19	10,68	7,92	0,546	0,00%	1,535	19,75	9,55	-5,67	9,95	7,79	5,71%	5,11%	1,17	22,56%	74,12%	395.854,00	37.891.000,00	1,12	39,72%
TIMS3	13,31	10,90	1,31	1,796	3,25%	0,733	5,57	9,82	-4,79	8,61	3,17	18,29%	16,48%	1,85	9,66%	11,99%	74.965.900,00	24.641.800.000,00	0,14	4,43%
SIMH3	10,76	11,04	2,64	0,726	1,47%	0,219	0,57	3,70	-0,62	8,86	6,26	19,60%	9,81%	4,09	10,97%	23,96%	23.473.100,00	3.406.830.000,00	8,57	0,00%
GRND3	8,45	11,22	1,87	3,190	10,24%	1,716	2,65	16,59	2,73	13,35	11,20	19,23%	28,43%	11,45	16,38%	16,65%	13.490.200,00	4.080.980.000,00	0,02	-0,95%
GFSA3	2,05	11,30	0,39	0,588	0,00%	0,167	0,40	5,58	1,34	11,51	10,27	10,54%	5,25%	2,44	3,46%	3,47%	14.055.200,00	1.765.520.000,00	0,67	5,85%
CSAB4	50,00	11,58	2,12	122,254	4,09%	1,027	0,00	13,19	0,00	0,00	0,00	927,03%	1.056,00%	0,00	0,00%	18,32%	4.978,84	181.092.000,00	0,00	-15,63%
AURA33	51,22	11,68	2,41	2,127	12,86%	1,140	4,70	5,57	-16,52	5,49	5,49	38,19%	18,21%	2,12	34,21%	20,67%	5.009.470,00	1.501.160.000,00	0,56	37,71%
LOGN3	23,31	11,76	5,64	1,854	0,00%	1,104	4,77	12,93	-2,87	17,15	10,54	14,34%	15,77%	2,23	12,01%	47,93%	16.755.900,00	437.799.000,00	3,11	14,36%
PTNT3	12,27	11,88	1,97	0,764	1,65%	0,750	3,74	8,58	98,34	9,75	6,79	8,90%	7,82%	1,60	12,64%	16,59%	213.202,00	299.139.000,00	0,77	9,91%
SOJA3	13,65	11,95	2,55	1,833	0,00%	1,612	3,27	11,36	3,66	10,50	10,34	16,14%	15,35%	2,57	21,82%	21,36%	4.958.590,00	626.668.000,00	0,20	0,00%
WLMM4	30,82	12,01	2,12	0,648	2,46%	1,723	4,51	9,91	5,71	8,49	8,21	6,54%	5,39%	4,65	24,33%	17,62%	60.550,60	530.316.000,00	0,01	35,45%
JALL3	9,41	12,20	2,30	2,137	3,12%	0,779	2,42	4,42	-5,71	5,49	3,36	48,35%	17,51%	2,59	25,54%	18,83%	6.722.240,00	1.206.520.000,00	1,41	0,00%
BPAC11	23,01	12,22	2,43	0,000	1,67%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	19,92%	290.294.000,00	36.259.400.000,00	0,00	33,79%
ENEV3	13,33	12,32	1,97	3,618	0,00%	0,946	8,62	13,06	-2,86	17,49	12,01	27,71%	29,37%	2,39	8,56%	15,98%	89.750.000,00	8.575.330.000,00	0,90	12,99%
GUAR3	12,83	12,40	1,24	0,922	3,43%	0,472	2,33	23,30	-18,14	29,38	9,91	3,96%	7,44%	1,52	2,54%	10,01%	13.912.500,00	5.161.370.000,00	0,68	1,22%
TUPY3	19,61	12,41	1,05	0,449	2,20%	0,437	1,23	5,05	158,14	6,81	4,18	8,89%	3,62%	2,54	12,32%	8,47%	11.778.400,00	2.690.750.000,00	0,77	11,20%
OFSA3	24,91	12,46	2,11	1,572	1,90%	1,197	3,03	9,55	6,85	10,55	8,87	16,45%	12,62%	2,86	16,50%	16,95%	222.785,00	636.339.000,00	0,51	16,47%
SMTO3	36,74	12,53	2,90	2,565	6,35%	0,941	4,95	8,29	-2,88	11,50	6,00	30,95%	20,47%	2,20	13,22%	23,14%	44.480.400,00	4.485.740.000,00	1,42	14,14%
BBSE3	22,83	12,60	5,87	0,000	4,37%	3,942	0,00	9,85	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	46,56%	102.099.000,00	7.781.880.000,00	0,00	0,00%
AESB3	11,48	12,68	2,54	4,619	1,63%	0,517	1.010,99	64,13	-0,85	123,17	123,17	7,20%	36,44%	1,00	0,89%	20,04%	11.755.900,00	2.223.480.000,00	2,67	0,00%
EQPA3	5,44	12,79	3,33	1,615	5,70%	0,939	5,87	6,88	-3,46	8,08	6,78	23,48%	12,63%	1,56	18,92%	26,05%	41.073,30	3.607.190.000,00	1,30	8,38%
QUAL3	17,19	12,82	2,92	2,336	12,05%	1,025	-6,08	6,24	-3,73	7,55	5,26	37,44%	18,65%	0,69	24,49%	22,78%	39.210.800,00	1.671.410.000,00	1,30	0,43%
DIRR3	13,34	12,86	1,65	1,167	5,29%	0,362	1,01	6,43	-1,22	7,41	6,39	18,14%	11,67%	4,68	6,95%	12,81%	22.305.200,00	1.214.780.000,00	1,02	20,45%
EGIE3	40,78	13,22	4,22	2,457	4,39%	0,857	12,32	5,70	-1,49	8,21	7,08	43,09%	18,59%	1,46	17,57%	31,92%	46.208.400,00	7.882.900.000,00	2,44	18,66%
MDIA3	22,00	13,25	1,08	1,015	0,91%	0,704	2,32	21,54	7,58	21,45	11,88	4,71%	7,66%	3,20	4,30%	8,17%	27.469.000,00	6.893.860.000,00	0,27	8,53%
WLMM3	34,00	13,25	2,33	0,715	2,02%	1,901	4,97	10,93	6,30	9,51	9,20	6,54%	5,39%	4,65	24,33%	17,62%	396,23	530.316.000,00	0,01	35,45%
PARD3	21,95	13,26	3,34	1,448	1,30%	1,357	11,82	7,19	-6,41	7,37	5,75	20,13%	10,93%	1,43	23,94%	25,19%	6.907.450,00	860.764.000,00	0,38	14,64%
KEPL3	41,29	13,79	1,82	1,185	25,75%	0,940	3,47	10,04	4,23	7,02	5,74	11,81%	8,60%	1,62	16,17%	13,23%	9.335.810,00	687.143.000,00	0,09	14,69%
LCAM3	25,28	13,93	2,69	1,959	1,62%	0,847	27,03	7,70	-1,74	11,45	8,75	25,44%	14,06%	1,19	13,84%	19,35%	73.421.100,00	4.772.960.000,00	1,69	59,06%
CAMB3	4,58	14,01	1,82	0,936	0,00%	0,643	18,48	5,91	-2,86	8,21	6,84	15,83%	6,65%	1,09	12,40%	13,00%	132.581,00	106.255.000,00	0,80	-8,63%
MRSA6B	36,00	14,23	2,47	2,816	0,88%	0,963	28,96	9,69	-2,38	11,23	6,20	29,07%	19,79%	1,19	12,32%	17,39%	279,07	4.946.430.000,00	0,81	4,07%
